"ncbiGeneId","ncbiGeneLocus","ncbiGeneSymbol"
885059,"Rv3693","undefined"
885060,"Rv2324","undefined"
885061,"Rv1702c","undefined"
885062,"Rv0982","mprB"
885063,"Rv0979c","undefined"
885064,"Rv1627c","undefined"
885065,"Rv1648","undefined"
885066,"Rv1703c","undefined"
885067,"Rv1143","mcr"
885068,"Rv1705c","PPE22"
885069,"Rv0915c","PPE14"
885070,"Rv1706c","PPE23"
885073,"Rv1707","undefined"
885074,"Rv1629","polA"
885075,"Rv2432c","undefined"
885076,"Rv0794c","undefined"
885077,"Rv0978c","PE_PGRS17"
885078,"Rv0857","undefined"
885079,"Rv3677c","undefined"
885080,"Rv1626","undefined"
885081,"Rv1894c","undefined"
885082,"Rv1708","undefined"
885083,"Rv1709","scpA"
885084,"Rv2320c","rocE"
885085,"Rv0808","purF"